OldFileName,Header,Strain,Timepoint,Flask,Dyeswap,MasterList,NewFilename
13669355_2008-01-31_0635_Nonnormalized_data.gpr,wt_LogFC_t15-2,wt,15,2,1,2,13669355_2008-01-31_wt_t15-Cy5_t0-Cy3_rep2.gpr
13664282_2007-10-30_0635_Nonnormalized_data.gpr,wt_LogFC_t15-3,wt,15,3,-1,3,13664282_2007-10-30_wt_t15-Cy3_t0-Cy5_rep3.gpr
13664286_2007-09-14_0635_Nonnormalized_data.gpr,wt_LogFC_t15-4,wt,15,4,-1,4,13664286_2007-09-14_wt_t15-Cy3_t0-Cy5_rep4.gpr
13669354_2008-01-31_0635_Nonnormalized_data.gpr,wt_LogFC_t30-2,wt,30,2,1,7,13669354_2008-01-31_wt_t30-Cy5_t0-Cy3_rep2.gpr
13669406_2007-10-30_0635_Nonnormalized_data.gpr,wt_LogFC_t30-3,wt,30,3,-1,8,13669406_2007-10-30_wt_t30-Cy3_t0-Cy5_rep3.gpr
13664283_2007-09-24_0635_Nonnormalized_data.gpr,wt_LogFC_t30-4,wt,30,4,-1,9,13664283_2007-09-24_wt_t30-Cy3_t0-Cy5_rep4.gpr
13669353_2008-01-31_0635_Nonnormalized_data.gpr,wt_LogFC_t60-2,wt,60,2,1,12,13669353_2008-01-31_wt_t60-Cy5_t0-Cy3_rep2.gpr
13669404_2007-10-30_0635_Nonnormalized_data.gpr,wt_LogFC_t60-3,wt,60,3,-1,13,13669404_2007-10-30_wt_t60-Cy3_t0-Cy5_rep3.gpr
13669350_2008-01-31_0635_Nonnormalized_data.gpr,wt_LogFC_t90-2,wt,90,2,1,16,13669350_2008-01-31_wt_t90-Cy5_t0-Cy3_rep2.gpr
13669401_2007-10-30_0635_Nonnormalized_data.gpr,wt_LogFC_t90-3,wt,90,3,-1,17,13669401_2007-10-30_wt_t90-Cy3_t0-Cy5_rep3.gpr
13664284_2007-09-24_0635_Nonnormalized_data.gpr,wt_LogFC_t90-4,wt,90,4,-1,18,13664284_2007-09-24_wt_t90-Cy3_t0-Cy5_rep4.gpr
13669352_2008-01-31_0635_Nonnormalized_data.gpr,wt_LogFC_t120-2,wt,120,2,1,21,13669352_2008-01-31_wt_t120-Cy5_t0-Cy3_rep2.gpr
13669358_2007-10-30_0635_Nonnormalized_data.gpr,wt_LogFC_t120-3,wt,120,3,-1,22,13669358_2007-10-30_wt_t120-Cy3_t0-Cy5_rep3.gpr
13664285_2007-09-10_0635_Nonnormalized_data.gpr,wt_LogFC_t120-4,wt,120,4,-1,23,13664285_2007-09-10_wt_t120-Cy3_t0-Cy5_rep4.gpr
13721688_2008-05-21_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t15-1,dCIN5,15,1,-1,24,13721688_2008-05-21_dCIN5_t15-Cy3_t0-Cy5_rep1.gpr
13669344_2007-11-02_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t15-2,dCIN5,15,2,1,25,13669344_2007-11-02_dCIN5_t15-Cy5_t0-Cy3_rep2.gpr
13669346_2008-02-21_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t15-3,dCIN5,15,3,1,26,13669346_2008-02-21_dCIN5_t15-Cy5_t0-Cy3_rep3.gpr
13721677_2008-03-20_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t15-4,dCIN5,15,4,-1,27,13721677_2008-03-20_dCIN5_t15-Cy3_t0-Cy5_rep4.gpr
13721684_2008-05-21_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t30-1,dCIN5,30,1,-1,28,13721684_2008-05-21_dCIN5_t30-Cy3_t0-Cy5_rep1.gpr
13669345_2007-11-02_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t30-2,dCIN5,30,2,1,29,13669345_2007-11-02_dCIN5_t30-Cy5_t0-Cy3_rep2.gpr
13669348_2008-02-21_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t30-3,dCIN5,30,3,1,30,13669348_2008-02-21_dCIN5_t30-Cy5_t0-Cy3_rep3.gpr
13724271_2008-03-20_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t30-4,dCIN5,30,4,-1,31,13724271_2008-03-20_dCIN5_t30-Cy3_t0-Cy5_rep4.gpr
13721687_2008-05-21_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t60-1,dCIN5,60,1,-1,32,13721687_2008-05-21_dCIN5_t60-Cy3_t0-Cy5_rep1.gpr
13669342_2007-11-02_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t60-2,dCIN5,60,2,1,33,13669342_2007-11-02_dCIN5_t60-Cy5_t0-Cy3_rep2.gpr
13669351_2008-02-21_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t60-3,dCIN5,60,3,1,34,13669351_2008-02-21_dCIN5_t60-Cy5_t0-Cy3_rep3.gpr
13721678_2008-03-20_fullscan_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t60-4,dCIN5,60,4,-1,35,13721678_2008-03-20_dCIN5_t60-Cy3_t0-Cy5_rep4.gpr
13721686_2008-05-21_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t90-1,dCIN5,90,1,-1,36,13721686_2008-05-21_dCIN5_t90-Cy3_t0-Cy5_rep1.gpr
13669343_2007-11-02_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t90-2,dCIN5,90,2,1,37,13669343_2007-11-02_dCIN5_t90-Cy5_t0-Cy3_rep2.gpr
13669349_2008-02-21_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t90-3,dCIN5,90,3,1,38,13669349_2008-02-21_dCIN5_t90-Cy5_t0-Cy3_rep3.gpr
13724272_2008-03-20_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t90-4,dCIN5,90,4,-1,39,13724272_2008-03-20_dCIN5_t90-Cy3_t0-Cy5_rep4.gpr
13721682_2008-05-21_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t120-1,dCIN5,120,1,-1,40,13721682_2008-05-21_dCIN5_t120-Cy3_t0-Cy5_rep1.gpr
13669340_2007-11-02_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t120-2,dCIN5,120,2,1,41,13669340_2007-11-02_dCIN5_t120-Cy5_t0-Cy3_rep2.gpr
13669347_2008-02-21_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t120-3,dCIN5,120,3,1,42,13669347_2008-02-21_dCIN5_t120-Cy5_t0-Cy3_rep3.gpr
13724270_2008-03-20_0635_Nonnormalized_data.gpr,dCIN5_LogFC_t120-4,dCIN5,120,4,-1,43,13724270_2008-03-20_dCIN5_t120-Cy3_t0-Cy5_rep4.gpr
13738236_2010-07-01_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t15-2,dGLN3,15,2,-1,44,13738236_2010-07-01_dGLN3_t15-Cy3_t0-Cy5_rep2.gpr
13738299_2010-07-22_0635.gpr,dGLN3_LogFC_t15-3,dGLN3,15,3,1,45,13738299_2010-07-22_dGLN3_t15-Cy5_t0-Cy3_rep3.gpr
13722128_2010-06-23_0635.gpr,dGLN3_LogFC_t15-4,dGLN3,15,4,1,46,13722128_2010-06-23_dGLN3_t15-Cy5_t0-Cy3_rep4.gpr
13738305_2010-07-02_0635_nonnormalized.gpr,dGLN3_LogFC_t15-5,dGLN3,15,5,-1,47,13738305_2010-07-02_dGLN3_t15-Cy3_t0-Cy5_rep5.gpr
13721681_2010-06-11_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t30-1,dGLN3,30,1,1,48,13721681_2010-06-11_dGLN3_t30-Cy5_t0-Cy3_rep1.gpr
13738234_2010-07-01_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t30-2,dGLN3,30,2,-1,49,13738234_2010-07-01_dGLN3_t30-Cy3_t0-Cy5_rep2.gpr
13722125_2010-06-23_0635.gpr,dGLN3_LogFC_t30-4,dGLN3,30,4,1,50,13722125_2010-06-23_dGLN3_t30-Cy5_t0-Cy3_rep4.gpr
13738304_2010-07-02_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t30-5,dGLN3,30,5,-1,51,13738304_2010-07-02_dGLN3_t30-Cy3_t0-Cy5_rep5.gpr
13721679_2010-06-11_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t60-1,dGLN3,60,1,1,52,13721679_2010-06-11_dGLN3_t60-Cy5_t0-Cy3_rep1.gpr
13738235_2010-07-01_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t60-2,dGLN3,60,2,-1,53,13738235_2010-07-01_dGLN3_t60-Cy3_t0-Cy5_rep2.gpr
13738298_2010-07-22_0635.gpr,dGLN3_LogFC_t60-3,dGLN3,60,3,-1,54,13738298_2010-07-22_dGLN3_t60-Cy3_t0-Cy5_rep3.gpr
13722129_2010-06-23_0635.gpr,dGLN3_LogFC_t60-4,dGLN3,60,4,1,55,13722129_2010-06-23_dGLN3_t60-Cy5_t0-Cy3_rep4.gpr
13721680_2010-06-11_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t90-1,dGLN3,90,1,1,56,13721680_2010-06-11_dGLN3_t90-Cy5_t0-Cy3_rep1.gpr
13738233_2010-07-01_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t90-2,dGLN3,90,2,-1,57,13738233_2010-07-01_dGLN3_t90-Cy3_t0-Cy5_rep2.gpr
13738297_2010-07-22_rescanned_0635.gpr,dGLN3_LogFC_t90-3,dGLN3,90,3,1,58,13738297_2010-07-22_dGLN3_t90-Cy5_t0-Cy3_rep3.gpr
13738303_2010-07-02_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t90-5,dGLN3,90,5,-1,59,13738303_2010-07-02_dGLN3_t90-Cy3_t0-Cy5_rep5.gpr
13722124_2010-06-11_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t120-1,dGLN3,120,1,1,60,13722124_2010-06-11_dGLN3_t120-Cy5_t0-Cy3_rep1.gpr
13738232_2010-07-01_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t120-2,dGLN3,120,2,-1,61,13738232_2010-07-01_dGLN3_t120-Cy3_t0-Cy5_rep2.gpr
13738296_2010-07-22_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t120-4,dGLN3,120,4,1,62,13738296_2010-07-22_dGLN3_t120-Cy5_t0-Cy3_rep4.gpr
13738301_2010-07-02_0635_Nonnormalized_data.gpr,dGLN3_LogFC_t120-5,dGLN3,120,5,-1,63,13738301_2010-07-02_dGLN3_t120-Cy3_t0-Cy5_rep5.gpr
14205383_2015-04-24.gpr,dHAP4_LogFC_t15-1,dHAP4,15,1,1,64,14205383_2015-04-24_dHAP4_t15-Cy5_t0-Cy3_rep1.gpr
14204556_2015-04-17.gpr,dHAP4_LogFC_t15-2,dHAP4,15,2,-1,65,14204556_2015-04-17_dHAP4_t15-Cy3_t0-Cy5_rep2.gpr
14204540_2015-04-07.gpr,dHAP4_LogFC_t15-3,dHAP4,15,3,1,66,14204540_2015-04-07_dHAP4_t15-Cy5_t0-Cy3_rep3.gpr
14205391_2015-04-14.gpr,dHAP4_LogFC_t15-4,dHAP4,15,4,-1,67,14205391_2015-04-14_dHAP4_t15-Cy3_t0-Cy5_rep4.gpr
14205382_2015-04-24.gpr,dHAP4_LogFC_t30-1,dHAP4,30,1,1,68,14205382_2015-04-24_dHAP4_t30-Cy5_t0-Cy3_rep1.gpr
14204554_2015-04-17.gpr,dHAP4_LogFC_t30-2,dHAP4,30,2,-1,69,14204554_2015-04-17_dHAP4_t30-Cy3_t0-Cy5_rep2.gpr
14204539_2015-04-07.gpr,dHAP4_LogFC_t30-3,dHAP4,30,3,1,70,14204539_2015-04-07_dHAP4_t30-Cy5_t0-Cy3_rep3.gpr
14205386_2015-04-14.gpr,dHAP4_LogFC_t30-4,dHAP4,30,4,-1,71,14205386_2015-04-14_dHAP4_t30-Cy3_t0-Cy5_rep4.gpr
14204830_2015-04-24.gpr,dHAP4_LogFC_t60-1,dHAP4,60,1,1,72,14204830_2015-04-24_dHAP4_t60-Cy5_t0-Cy3_rep1.gpr
14204392_2015-04-17.gpr,dHAP4_LogFC_t60-2,dHAP4,60,2,-1,73,14204392_2015-04-17_dHAP4_t60-Cy3_t0-Cy5_rep2.gpr
14204553_2015-04-07.gpr,dHAP4_LogFC_t60-3,dHAP4,60,3,1,74,14204553_2015-04-07_dHAP4_t60-Cy5_t0-Cy3_rep3.gpr
14204980_2015-04-15.gpr,dHAP4_LogFC_t60-4,dHAP4,60,4,-1,75,14204980_2015-04-15_dHAP4_t60-Cy3_t0-Cy5_rep4.gpr
14204843_2015-05-09.gpr,dHAP4_LogFC_t90-2,dHAP4,90,2,-1,76,14204843_2015-05-09_dHAP4_t90-Cy3_t0-Cy5_rep2.gpr
14205392_2015-04-08.gpr,dHAP4_LogFC_t90-3,dHAP4,90,3,1,77,14205392_2015-04-08_dHAP4_t90-Cy5_t0-Cy3_rep3.gpr
14205385_2015-04-14.gpr,dHAP4_LogFC_t90-4,dHAP4,90,4,-1,78,14205385_2015-04-14_dHAP4_t90-Cy3_t0-Cy5_rep4.gpr
14204395_2015-04-17.gpr,dHAP4_LogFC_t120-2,dHAP4,120,2,-1,79,14204395_2015-04-17_dHAP4_t120-Cy3_t0-Cy5_rep2.gpr
14204552_2015-04-07.gpr,dHAP4_LogFC_t120-3,dHAP4,120,3,1,80,14204552_2015-04-07_dHAP4_t120-Cy5_t0-Cy3_rep3.gpr
14205384_2015-04-14.gpr,dHAP4_LogFC_t120-4,dHAP4,120,4,-1,81,14205384_2015-04-14_dHAP4_t120-Cy3_t0-Cy5_rep4.gpr
14204845_2011-01-26_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t15-1,dHMO1,15,1,1,82,14204845_2011-01-26_dHMO1_t15-Cy5_t0-Cy3_rep1.gpr
14205398_2010-12-09_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t15-2,dHMO1,15,2,1,83,14205398_2010-12-09_dHMO1_t15-Cy5_t0-Cy3_rep2.gpr
14204560_2011-02-02_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t15-3,dHMO1,15,3,-1,84,14204560_2011-02-02_dHMO1_t15-Cy3_t0-Cy5_rep3.gpr
