OldFileName,Header,Strain,Timepoint,Flask,Dyeswap,MasterList,NewFilename
14205387_2011-02-09_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t15-4,dHMO1,15,4,-1,85,14205387_2011-02-09_dHMO1_t15-Cy3_t0-Cy5_rep4.gpr
14204839_2011-01-26_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t30-1,dHMO1,30,1,1,86,14204839_2011-01-26_dHMO1_t30-Cy5_t0-Cy3_rep1.gpr
14205401_2010-12-09_rescan_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t30-2,dHMO1,30,2,1,87,14205401_2010-12-09_dHMO1_t30-Cy5_t0-Cy3_rep2.gpr
13738295_2011-02-04_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t30-3,dHMO1,30,3,-1,88,13738295_2011-02-04_dHMO1_t30-Cy3_t0-Cy5_rep3.gpr
14205390_2011-02-09_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t30-4,dHMO1,30,4,-1,89,14205390_2011-02-09_dHMO1_t30-Cy3_t0-Cy5_rep4.gpr
14204836_2011-01-26_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t60-1,dHMO1,60,1,1,90,14204836_2011-01-26_dHMO1_t60-Cy5_t0-Cy3_rep1.gpr
14204827_2010-12-09_rescan_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t60-2,dHMO1,60,2,1,91,14204827_2010-12-09_dHMO1_t60-Cy5_t0-Cy3_rep2.gpr
14204562_2011-02-02_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t60-3,dHMO1,60,3,-1,92,14204562_2011-02-02_dHMO1_t60-Cy3_t0-Cy5_rep3.gpr
14205396_2011-02-09_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t60-4,dHMO1,60,4,-1,93,14205396_2011-02-09_dHMO1_t60-Cy3_t0-Cy5_rep4.gpr
14204833_2011-01-26_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t90-1,dHMO1,90,1,1,94,14204833_2011-01-26_dHMO1_t90-Cy5_t0-Cy3_rep1.gpr
14204834_2010-12-09_rescan_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t90-2,dHMO1,90,2,1,95,14204834_2010-12-09_dHMO1_t90-Cy5_t0-Cy3_rep2.gpr
14204561_2011-02-02_PMT640-560_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t90-3,dHMO1,90,3,-1,96,14204561_2011-02-02_dHMO1_t90-Cy3_t0-Cy5_rep3.gpr
14204825_2011-02-09_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t90-4,dHMO1,90,4,-1,97,14204825_2011-02-09_dHMO1_t90-Cy3_t0-Cy5_rep4.gpr
14204826_2011-01-26_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t120-1,dHMO1,120,1,1,98,14204826_2011-01-26_dHMO1_t120-Cy5_t0-Cy3_rep1.gpr
14205402_2010-12-09_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t120-2,dHMO1,120,2,1,99,14205402_2010-12-09_dHMO1_t120-Cy5_t0-Cy3_rep2.gpr
14204558_2011-02-02_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t120-3,dHMO1,120,3,-1,100,14204558_2011-02-02_dHMO1_t120-Cy3_t0-Cy5_rep3.gpr
14205393_2011-02-09_0635_Nonnormalized_data.gpr,dHMO1_LogFC_t120-4,dHMO1,120,4,-1,101,14205393_2011-02-09_dHMO1_t120-Cy3_t0-Cy5_rep4.gpr
14204534_2013-04-19_non-normalized.gpr,dSWI4_Log2FC_t30-1,dSWI4,30,1,1,102,14204534_2013-04-19_dSWI4_t30-Cy5_t0-Cy3_rep1.gpr
14204536_2014-02-05_non-normalized.gpr,dSWI4_Log2FC_t30-2,dSWI4,30,2,-1,103,14204536_2014-02-05_dSWI4_t30-Cy3_t0-Cy5_rep2.gpr
14204846_2014-12-02.gpr,dSWI4_Log2FC_t30-3,dSWI4,30,3,1,104,14204846_2014-12-02_dSWI4_t30-Cy5_t0-Cy3_rep3.gpr
14204533_2014-04-16.gpr,dSWI4_Log2FC_t30-4,dSWI4,30,4,-1,105,14204533_2014-04-16_dSWI4_t30-Cy3_t0-Cy5_rep4.gpr
14204989_2013-04-19_non-normalized.gpr,dSWI4_Log2FC_t60-1,dSWI4,60,1,1,106,14204989_2013-04-19_dSWI4_t60-Cy5_t0-Cy3_rep1.gpr
14204979_2014-02-04_non-normalized.gpr,dSWI4_Log2FC_t60-2,dSWI4,60,2,-1,107,14204979_2014-02-04_dSWI4_t60-Cy3_t0-Cy5_rep2.gpr
14204851_2014-12-02.gpr,dSWI4_Log2FC_t60-3,dSWI4,60,3,1,108,14204851_2014-12-02_dSWI4_t60-Cy5_t0-Cy3_rep3.gpr
14205378_2014-04-16.gpr,dSWI4_Log2FC_t60-4,dSWI4,60,4,-1,109,14205378_2014-04-16_dSWI4_t60-Cy3_t0-Cy5_rep4.gpr
14204988_2013-04-19_non-normalized.gpr,dSWI4_Log2FC_t90-1,dSWI4,90,1,1,110,14204988_2013-04-19_dSWI4_t90-Cy5_t0-Cy3_rep1.gpr
14204984_2014-02-04_non-normalized.gpr,dSWI4_Log2FC_t90-2,dSWI4,90,2,-1,111,14204984_2014-02-04_dSWI4_t90-Cy3_t0-Cy5_rep2.gpr
14204586_2014-12-02.gpr,dSWI4_Log2FC_t90-3,dSWI4,90,3,1,112,14204586_2014-12-02_dSWI4_t90-Cy5_t0-Cy3_rep3.gpr
14204837_2014-04-16.gpr,dSWI4_Log2FC_t90-4,dSWI4,90,4,-1,113,14204837_2014-04-16_dSWI4_t90_Cy3_t0-Cy5_rep4.gpr
13738300_2013-04-19_non-normalized.gpr,dSWI4_Log2FC_t120-1,dSWI4,120,1,1,114,13738300_2013-04-19_dSWI4_t120-Cy5_t0-Cy3_rep1.gpr
14204969_2014-02-04_non-normalized.gpr,dSWI4_Log2FC_t120-2,dSWI4,120,2,-1,115,14204969_2014-02-04_dSWI4_t120-Cy3_t0-Cy5_rep2.gpr
14205377_2014-12-02.gpr,dSWI4_Log2FC_t120-3,dSWI4,120,3,1,116,14205377_2014-12-02_dSWI4_t120-Cy5_t0-Cy3_rep3.gpr
14204841_2014-04-16.gpr,dSWI4_Log2FC_t120-4,dSWI4,120,4,-1,117,14204841_2014-04-16_dSWI4_t120-Cy3_t0-Cy5_rep4.gpr
13738314_2010-07-16_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t15-2,dZAP1,15,2,1,118,13738314_2010-07-16_dZAP1_t15-Cy5_t0-Cy3_rep2.gpr
14205400_2010-10-14_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t15-3,dZAP1,15,3,-1,119,14205400_2010-10-14_dZAP1_t15-Cy3_t0-Cy5_rep3.gpr
13722120_2010-06-30_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t15-4,dZAP1,15,4,1,120,13722120_2010-06-30_dZAP1_t15-Cy5_t0-Cy3_rep4.gpr
13738240_2010-07-23_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t15-5,dZAP1,15,5,-1,121,13738240_2010-07-23_dZAP1_t15-Cy3_t0-Cy5_rep5.gpr
13738315_2010-07-16_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t30-2,dZAP1,30,2,1,122,13738315_2010-07-16_dZAP1_t30-Cy5_t0-Cy3_rep2.gpr
14205397_2010-10-14_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t30-3,dZAP1,30,3,-1,123,14205397_2010-10-14_dZAP1_t30-Cy3_t0-Cy5_rep3.gpr
13722119_2010-06-30_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t30-4,dZAP1,30,4,1,124,13722119_2010-06-30_dZAP1_t30-Cy5_t0-Cy3_rep4.gpr
13738237_2010-07-23_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t30-5,dZAP1,30,5,-1,125,13738237_2010-07-23_dZAP1_t30-Cy3_t0-Cy5_rep5.gpr
13738311_2010-07-16_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t60-2,dZAP1,60,2,1,126,13738311_2010-07-16_dZAP1_t60-Cy5_t0-Cy3_rep2.gpr
14205394_2010-10-14_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t60-3,dZAP1,60,3,-1,127,14205394_2010-10-14_dZAP1_t60-Cy3_t0-Cy5_rep3.gpr
13722122_2010-06-30_second_scan_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t60-4,dZAP1,60,4,1,128,13722122_2010-06-30_dZAP1_t60-Cy5_t0-Cy3_rep4.gpr
13738239_2010-07-23_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t60-5,dZAP1,60,5,-1,129,13738239_2010-07-23_dZAP1_t60-Cy3_t0-Cy5_rep5.gpr
13738294_2010-07-16_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t90-2,dZAP1,90,2,1,130,13738294_2010-07-16_dZAP1_t90-Cy5_t0-Cy3_rep2.gpr
14205388_2010-10-14_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t90-3,dZAP1,90,3,-1,131,14205388_2010-10-14_dZAP1_t90-Cy3_t0-Cy5_rep3.gpr
13722123_2010-06-30_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t90-4,dZAP1,90,4,1,132,13722123_2010-06-30_dZAP1_t90-Cy5_t0-Cy3_rep4.gpr
13738241_2010-07-23_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t90-5,dZAP1,90,5,-1,133,13738241_2010-07-23_dZAP1_t90-Cy3_t0-Cy5_rep5.gpr
13738312_2010-07-16_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t120-2,dZAP1,120,2,1,134,13738312_2010-07-16_dZAP1_t120-Cy5_t0-Cy3_rep2.gpr
14205395_2010-10-14_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t120-3,dZAP1,120,3,-1,135,14205395_2010-10-14_dZAP1_t120-Cy3_t0-Cy5_rep3.gpr
13722121_2010-06-30_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t120-4,dZAP1,120,4,1,136,13722121_2010-06-30_dZAP1_t120-Cy5_t0-Cy3_rep4.gpr
13738238_2010-07-23_0635_Nonnormalized_data.gpr,dZAP1_LogFC_t120-5,dZAP1,120,5,-1,137,13738238_2010-07-23_dZAP1_t120-Cy5_t0-Cy3_rep5.gpr
14204849_2012-07-06_725-549PMT_redone20140418.gpr,Spar_LogFC_t15-1,Spar,15,1,1,138,14204849_2012-07-06_Spar_t15-Cy5_t0-Cy3_rep1.gpr
14204977_2013-03-16_redone20140418.gpr,Spar_LogFC_t15-2,Spar,15,2,-1,139,14204977_2013-03-16_Spar_t15-Cy3_t0-Cy5_rep2.gpr
14204397_2012-07-10_752-613PMT_secondscan_redone20140418.gpr,Spar_LogFC_t15-3,Spar,15,3,-1,140,14204397_2012-07-10_Spar_t15-Cy3_t0-Cy5_rep3.gpr
14204547_2013-02-16_redone20140418.gpr,Spar_LogFC_t15-4,Spar,15,4,1,141,14204547_2013-02-16_Spar_t15-Cy5_t0-Cy3_rep4.gpr
14204579_2012-07-06_724-544PMT_redone20140418.gpr,Spar_LogFC_t30-1,Spar,30,1,1,142,14204579_2012-07-06_Spar_t30-Cy5_t0-Cy3_rep1.gpr
14204972_2013-03-16_redone20140418.gpr,Spar_LogFC_t30-2,Spar,30,2,-1,143,14204972_2013-03-16_Spar_t30-Cy3_t0-Cy5_rep2.gpr
14204535_2012-07-10_767-570PMT_redone20140418.gpr,Spar_LogFC_t30-3,Spar,30,3,-1,144,14204535_2012-07-10_Spar_t30-Cy3_t0-Cy5_rep3.gpr
14204393_2013-02-16_redone20140418.gpr,Spar_LogFC_t30-4,Spar,30,4,1,145,14204393_2013-02-16_Spar_t30-Cy5_t0-Cy3_rep4.gpr
14204570_2012-07-06_720-554PMT_redone20140418.gpr,Spar_LogFC_t60-1,Spar,60,1,1,146,14204570_2012-07-06_Spar_t60-Cy5_t0-Cy3_rep1.gpr
14204538_2014-02-05.gpr,Spar_LogFC_t60-2,Spar,60,2,-1,147,14204538_2014-02-05_Spar_t60-Cy3_t0-Cy5_rep2.gpr
14205376_2012-07-10_752-575PMT_redone20140418.gpr,Spar_LogFC_t60-3,Spar,60,3,-1,148,14205376_2012-07-10_Spar_t60-Cy3_t0-Cy5_rep3.gpr
14204555_2013-02-16_redone20140418.gpr,Spar_LogFC_t60-4,Spar,60,4,1,149,14204555_2013-02-16_Spar_t60-Cy5_t0-Cy3_rep4.gpr
14204574_2012-07-06_725-547PMT_redone20140418.gpr,Spar_LogFC_t90-1,Spar,90,1,1,150,14204574_2012-07-06_Spar_t90-Cy5_t0-Cy3_rep1.gpr
14204978_2013-03-16_redone20140418.gpr,Spar_LogFC_t90-2,Spar,90,2,-1,151,14204978_2013-03-16_Spar_t90-Cy3_t0-Cy5_rep2.gpr
14204398_2012-07-10_748-600PMT_secondscan_redone20140418.gpr,Spar_LogFC_t90-3,Spar,90,3,-1,152,14204398_2012-07-10_Spar_t90-Cy3_t0-Cy5_rep3.gpr
14204396_2013-02-16_redone20140418.gpr,Spar_LogFC_t90-4,Spar,90,4,1,153,14204396_2013-02-16_Spar_t90-Cy5_t0-Cy3_rep4.gpr
14204541_2014-02-05.gpr,Spar_LogFC_t120-1,Spar,120,1,1,154,14204541_2014-02-05_Spar_t120-Cy5_t0-Cy3_rep1.gpr
14204986_2013-03-16_redone20140418.gpr,Spar_LogFC_t120-2,Spar,120,2,-1,155,14204986_2013-03-16_Spar_t120-Cy3_t0-Cy5_rep2.gpr
14204971_2013-03-16_redone20140418.gpr,Spar_LogFC_t120-3,Spar,120,3,-1,156,14204971_2013-03-16_Spar_t120-Cy3_t0-Cy5_rep3.gpr
14204394_2013-02-16_redone20140418.gpr,Spar_LogFC_t120-4,Spar,120,4,1,157,14204394_2013-02-16_Spar_t120-Cy5_t0-Cy3_rep4.gpr
